ans.dynamics.rms.Mean,ans.dynamics.rms.Std,fluctuation.peak.PeakPosMean,fluctuation.peak.PeakMagMean,fluctuation.centroid.Mean,rhythm.tmp.onsets.PeakPosMean,rhythm.tmp.onsets.PeakMagMean,rhythm.tempo.Mean,rhythm.attack.time.Mean,rhythm.attack.slope.Mean,spectral.centroid.Mean,spectral.centroid.Std,spectral.brightness.Mean,spectral.brightness.Std,spectral.spread.Mean,spectral.spread.Std,spectral.skewness.Mean,spectral.skewness.Std,spectral.kurtosis.Mean,spectral.kurtosis.Std,spectral.rolloff95.Mean,spectral.rolloff95.Std,spectral.rolloff85.Mean,spectral.rolloff85.Std,spectral.spectentropy.Mean,spectral.spectentropy.Std,spectral.flatness.Mean,spectral.flatness.Std,spectral.roughness.Mean,spectral.roughness.Std,spectral.irregularity.Mean,spectral.irregularity.Std,spectral.mfcc.1.Mean,spectral.mfcc.1.Std,spectral.mfcc.2.Mean,spectral.mfcc.2.Std,spectral.mfcc.3.Mean,spectral.mfcc.3.Std,spectral.mfcc.4.Mean,spectral.mfcc.4.Std,spectral.mfcc.5.Mean,spectral.mfcc.5.Std,spectral.mfcc.6.Mean,spectral.mfcc.6.Std,spectral.mfcc.7.Mean,spectral.mfcc.7.Std,spectral.mfcc.8.Mean,spectral.mfcc.8.Std,spectral.mfcc.9.Mean,spectral.mfcc.9.Std,spectral.mfcc.10.Mean,spectral.mfcc.10.Std,spectral.mfcc.11.Mean,spectral.mfcc.11.Std,spectral.mfcc.12.Mean,spectral.mfcc.12.Std,spectral.mfcc.13.Mean,spectral.mfcc.13.Std,spectral.dmfcc.1.Mean,spectral.dmfcc.1.Std,spectral.dmfcc.2.Mean,spectral.dmfcc.2.Std,spectral.dmfcc.3.Mean,spectral.dmfcc.3.Std,spectral.dmfcc.4.Mean,spectral.dmfcc.4.Std,spectral.dmfcc.5.Mean,spectral.dmfcc.5.Std,spectral.dmfcc.6.Mean,spectral.dmfcc.6.Std,spectral.dmfcc.7.Mean,spectral.dmfcc.7.Std,spectral.dmfcc.8.Mean,spectral.dmfcc.8.Std,spectral.dmfcc.9.Mean,spectral.dmfcc.9.Std,spectral.dmfcc.10.Mean,spectral.dmfcc.10.Std,spectral.dmfcc.11.Mean,spectral.dmfcc.11.Std,spectral.dmfcc.12.Mean,spectral.dmfcc.12.Std,spectral.dmfcc.13.Mean,spectral.dmfcc.13.Std,spectral.ddmfcc.1.Mean,spectral.ddmfcc.2.Mean,spectral.ddmfcc.3.Mean,spectral.ddmfcc.4.Mean,spectral.ddmfcc.5.Mean,spectral.ddmfcc.6.Mean,spectral.ddmfcc.7.Mean,spectral.ddmfcc.8.Mean,spectral.ddmfcc.9.Mean,spectral.ddmfcc.10.Mean,spectral.ddmfcc.11.Mean,spectral.ddmfcc.12.Mean,spectral.ddmfcc.13.Mean,timbre.zerocross.Mean,timbre.zerocross.Std,timbre.lowenergy.Mean,timbre.spectralflux.Mean,timbre.spectralflux.Std,class
0.89876,0.43892,3.97286,179.46752,4.54165,0.4474,0.37173,62.27696,0.16764,5.89546,10.77318,1.90417,0,0,12.48589,0.96982,1.04772,0.08234,3.67395,0.32623,31.7987,2.87859,17.76756,5.37915,0.65923,0.03075,0.26906,0.101,0,0,0,0,-0,0,0,0,-0,0,-0,0,-0,0,0,0,0,0,0,0,-0,0,-0,0,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83472,2.83049,0.51252,0.46649,0.5678,class1
0.88177,0.4749,3.73921,119.0474,4.37168,0.10068,0.87659,57.91466,0.13357,4.67782,10.75813,1.95386,0,0,12.47383,0.92142,1.05085,0.0818,3.69287,0.31528,31.74562,2.74061,17.5553,5.14578,0.65855,0.02897,0.27182,0.09775,0,0,0,0,-0,0,0,0,-0,0,-0,0,-0,0,0,0,0,0,0,0,-0,0,-0,0,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73038,2.66205,0.52087,0.467,0.57045,class1
0.82736,0.56345,2.8886,177.05991,4.22498,0.34415,0.09782,57.70211,0.23257,2.8106,10.7713,1.96734,0,0,12.4531,0.8487,1.05986,0.08128,3.71868,0.35115,31.7717,2.80938,17.47705,5.05478,0.65855,0.0281,0.26633,0.09448,0,0,0,0,-0,0,0,0,-0,0,-0,0,-0,0,0,0,0,0,0,0,-0,0,-0,0,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76516,2.7198,0.62437,0.4298,0.49977,class1
0.81821,0.57353,4.86968,217.91924,4.66861,0.09007,0.05931,98.42314,0.09322,4.66798,11.19727,2.19817,0,0,12.85561,1.05963,1.09172,0.09792,3.89311,0.36405,32.11081,3.56797,19.12041,6.51681,0.66834,0.03525,0.31892,0.09974,0,0,0,0,-0,0,0,0,-0,0,-0,0,-0,0,0,0,0,0,0,0,-0,0,-0,0,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4086,3.5651,0.58097,0.72608,0.68112,class1
0.86726,0.4979,4.88982,269.7354,4.65953,0.22675,1.0005,99.47184,0.11533,4.10132,11.23389,2.36211,0,0,12.84156,1.11975,1.07393,0.10008,3.82406,0.34026,32.18907,3.71673,19.14649,6.53404,0.66861,0.0365,0.31655,0.10515,0,0,0,0,-0,0,0,0,-0,0,-0,0,-0,0,0,0,0,0,0,0,-0,0,-0,0,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32165,3.46994,0.52588,0.74569,0.67067,class1
0.85381,0.52094,4.83297,233.21963,4.53999,0.42673,0.10918,96.08987,0.10826,2.24769,11.11101,2.24771,0,0,12.73822,1.06386,1.07198,0.09642,3.80448,0.35274,32.18907,3.71673,18.75522,6.25914,0.66625,0.03582,0.30526,0.10132,0,0,0,0,-0,0,0,0,-0,0,-0,0,-0,0,0,0,0,0,0,0,-0,0,-0,0,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16514,3.28593,0.56093,0.6641,0.63318,class1
0.83464,0.55212,4.86378,240.14766,4.5733,0.34471,0.13047,98.89353,0.10743,2.20999,11.18235,2.35537,0,0,12.76996,1.08007,1.07296,0.10038,3.81657,0.35099,32.2969,3.90992,19.02743,6.45416,0.66754,0.03715,0.31,0.10309,0,0,0,0,-0,0,0,0,-0,0,-0,0,-0,0,0,0,0,0,0,0,-0,0,-0,0,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21731,3.3492,0.56093,0.6601,0.59711,class1
0.84976,0.53002,4.8559,236.56089,4.6721,0.14429,0.08627,98.351,0.10583,5.36626,11.2074,2.26716,0,0,12.84548,1.09228,1.08317,0.10049,3.8588,0.36119,32.18907,3.71673,18.98998,6.42835,0.66845,0.03602,0.3173,0.10234,0,0,0,0,-0,0,0,0,-0,0,-0,0,-0,0,0,0,0,0,0,0,-0,0,-0,0,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33904,3.48936,0.55593,0.73632,0.65908,class1
0.88179,0.4706,4.81181,242.77089,4.55875,0.14124,0.60003,95.91259,0.1165,4.03691,11.12321,2.08651,0,0,12.80509,1.12988,1.06983,0.09435,3.7962,0.33937,32.08612,3.51937,19.02174,6.45025,0.66778,0.03633,0.30992,0.10604,0,0,0,0,-0,0,0,0,-0,0,-0,0,-0,0,0,0,0,0,0,0,-0,0,-0,0,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35643,3.50858,0.52254,0.70895,0.64111,class1
0.87779,0.47744,4.79715,238.3538,4.59456,0.09196,0.27118,95.46431,0.10629,5.98256,11.17567,2.27738,0,0,12.80257,1.14004,1.06587,0.09553,3.78879,0.31952,32.29341,3.90384,19.17258,6.55113,0.6681,0.03761,0.31249,0.10576,0,0,0,0,-0,0,0,0,-0,0,-0,0,-0,0,0,0,0,0,0,0,-0,0,-0,0,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30426,3.45033,0.52421,0.7389,0.68121,class1
