Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LGBMClassifier,0.8821428571428571,0.888671875,0.888671875,0.8821428571428571,0.14580583572387695
XGBClassifier,0.8785714285714286,0.8853824013157895,0.8853824013157895,0.8785327072320529,0.21660113334655762
KNeighborsClassifier,0.8928571428571429,0.8831208881578947,0.8831208881578947,0.8906785955244105,0.1463627815246582
LabelSpreading,0.8696428571428572,0.8756167763157895,0.8756167763157895,0.8696989755081346,0.23261404037475586
LabelPropagation,0.8696428571428572,0.8756167763157895,0.8756167763157895,0.8696989755081346,0.22587370872497559
ExtraTreesClassifier,0.8696428571428572,0.8746916118421053,0.8746916118421053,0.8697887984004615,0.23176836967468262
RandomForestClassifier,0.8678571428571429,0.8736636513157895,0.8736636513157895,0.8679313084486817,0.4688236713409424
BaggingClassifier,0.8642857142857143,0.8722245065789473,0.8722245065789473,0.8640346320346319,0.2969040870666504
LinearDiscriminantAnalysis,0.8607142857142858,0.8661595394736843,0.8661595394736843,0.8608262245848193,0.047391414642333984
DecisionTreeClassifier,0.8571428571428571,0.8641036184210527,0.8641036184210527,0.8570481001217263,0.047974586486816406
SVC,0.8571428571428571,0.8622532894736843,0.8622532894736843,0.857288659493191,0.2094268798828125
AdaBoostClassifier,0.8553571428571428,0.8609169407894737,0.8609169407894737,0.8554563159872893,0.42339086532592773
PassiveAggressiveClassifier,0.8642857142857143,0.8564967105263157,0.8564967105263157,0.8624852992951152,0.03049325942993164
LinearSVC,0.85,0.8553659539473684,0.8553659539473684,0.8501205495528823,0.13640713691711426
CalibratedClassifierCV,0.8464285714285714,0.8514597039473684,0.8514597039473684,0.8465853089551801,0.38934755325317383
RidgeClassifierCV,0.8464285714285714,0.8505345394736843,0.8505345394736843,0.84666181669666,0.03050684928894043
LogisticRegression,0.8446428571428571,0.8491981907894737,0.8491981907894737,0.8448445623835362,0.05269622802734375
RidgeClassifier,0.8446428571428571,0.848889802631579,0.848889802631579,0.8448683852495218,0.021149873733520508
QuadraticDiscriminantAnalysis,0.8571428571428571,0.844983552631579,0.844983552631579,0.8530175706646296,0.02414679527282715
NuSVC,0.8392857142857143,0.843030427631579,0.843030427631579,0.8395483193277311,0.30864644050598145
SGDClassifier,0.8392857142857143,0.8414884868421053,0.8414884868421053,0.8395794871232998,0.041152238845825195
Perceptron,0.8285714285714286,0.8239103618421053,0.8239103618421053,0.8277162293488824,0.01685929298400879
ExtraTreeClassifier,0.8,0.8065378289473684,0.8065378289473684,0.7998673401704169,0.015604496002197266
GaussianNB,0.7339285714285714,0.7262541118421053,0.7262541118421053,0.7311972955644926,0.020336389541625977
NearestCentroid,0.6892857142857143,0.6771175986842105,0.6771175986842105,0.6818877551020408,0.01706981658935547
BernoulliNB,0.6696428571428571,0.6602590460526316,0.6602590460526316,0.6651091955288367,0.034961700439453125
DummyClassifier,0.5428571428571428,0.5,0.5,0.382010582010582,0.014578580856323242
