Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LGBMClassifier,0.8821428571428571,0.888671875,0.888671875,0.8821428571428571,0.0952143669128418
XGBClassifier,0.8785714285714286,0.8853824013157895,0.8853824013157895,0.8785327072320529,0.21251964569091797
KNeighborsClassifier,0.8928571428571429,0.8831208881578947,0.8831208881578947,0.8906785955244105,0.14909720420837402
LabelSpreading,0.8696428571428572,0.8756167763157895,0.8756167763157895,0.8696989755081346,0.2498159408569336
LabelPropagation,0.8696428571428572,0.8756167763157895,0.8756167763157895,0.8696989755081346,0.2120523452758789
ExtraTreesClassifier,0.8696428571428572,0.8746916118421053,0.8746916118421053,0.8697887984004615,0.2230525016784668
RandomForestClassifier,0.8678571428571429,0.8736636513157895,0.8736636513157895,0.8679313084486817,0.4534916877746582
BaggingClassifier,0.8642857142857143,0.8722245065789473,0.8722245065789473,0.8640346320346319,0.30901026725769043
LinearDiscriminantAnalysis,0.8607142857142858,0.8661595394736843,0.8661595394736843,0.8608262245848193,0.07447075843811035
DecisionTreeClassifier,0.8571428571428571,0.8641036184210527,0.8641036184210527,0.8570481001217263,0.04860234260559082
SVC,0.8571428571428571,0.8622532894736843,0.8622532894736843,0.857288659493191,0.18204116821289062
AdaBoostClassifier,0.8553571428571428,0.8609169407894737,0.8609169407894737,0.8554563159872893,0.4076840877532959
PassiveAggressiveClassifier,0.8642857142857143,0.8564967105263157,0.8564967105263157,0.8624852992951152,0.029237031936645508
LinearSVC,0.85,0.8553659539473684,0.8553659539473684,0.8501205495528823,0.1197516918182373
CalibratedClassifierCV,0.8464285714285714,0.8514597039473684,0.8514597039473684,0.8465853089551801,0.40773940086364746
RidgeClassifierCV,0.8464285714285714,0.8505345394736843,0.8505345394736843,0.84666181669666,0.0279996395111084
LogisticRegression,0.8446428571428571,0.8491981907894737,0.8491981907894737,0.8448445623835362,0.04763460159301758
RidgeClassifier,0.8446428571428571,0.848889802631579,0.848889802631579,0.8448683852495218,0.03840160369873047
QuadraticDiscriminantAnalysis,0.8571428571428571,0.844983552631579,0.844983552631579,0.8530175706646296,0.024863719940185547
NuSVC,0.8392857142857143,0.843030427631579,0.843030427631579,0.8395483193277311,0.3050363063812256
SGDClassifier,0.8392857142857143,0.8414884868421053,0.8414884868421053,0.8395794871232998,0.0420069694519043
Perceptron,0.8285714285714286,0.8239103618421053,0.8239103618421053,0.8277162293488824,0.01801609992980957
ExtraTreeClassifier,0.8,0.8065378289473684,0.8065378289473684,0.7998673401704169,0.015805721282958984
GaussianNB,0.7339285714285714,0.7262541118421053,0.7262541118421053,0.7311972955644926,0.017047405242919922
NearestCentroid,0.6892857142857143,0.6771175986842105,0.6771175986842105,0.6818877551020408,0.020083904266357422
BernoulliNB,0.6696428571428571,0.6602590460526316,0.6602590460526316,0.6651091955288367,0.053281545639038086
DummyClassifier,0.5428571428571428,0.5,0.5,0.382010582010582,0.01452779769897461
